|6.6.6
project/EH70/EH70_1.tab                                                                             
           1
P(bar)  
   6.9506480690741720E-310
   6.9506480690741720E-310
  1027803201
          15
P(bar)         T(K)           rho,kg/m3      O,vo%          Wad,vo%        Ring,vo%       Pv,vo%         Wus,vo%        Cpx,vo%        Opx,vo%        Aki,vo%        Gt_maj,vo%     v0,km/s        vp,km/s        vs,km/s       
  26760.0        1050.15        3439.76                 NaN            NaN            NaN            NaN            NaN   27.7392        57.5395                 NaN   8.14664        5.83980        7.74531        4.40625     
  26880.0        1053.20        3439.70                 NaN            NaN            NaN            NaN            NaN   27.7032        57.6241                 NaN   8.09853        5.83936        7.74421        4.40522     
  27000.0        1056.25        3439.76                 NaN            NaN            NaN            NaN            NaN   27.7465        57.5872                 NaN   8.09250        5.83956        7.74385        4.40454     
  27120.0        1059.30        3439.94                 NaN            NaN            NaN            NaN            NaN   27.8560        57.4422                 NaN   8.12806        5.84038        7.74421        4.40420     
  27240.0        1062.35        3440.04                 NaN            NaN            NaN            NaN            NaN   27.8971        57.3867                 NaN   8.14270        5.84080        7.74406        4.40359     
  27360.0        1065.40        3440.11                 NaN            NaN            NaN            NaN            NaN   27.9433        57.3434                 NaN   8.14012        5.84105        7.74375        4.40293     
  27480.0        1068.45        3440.18                 NaN            NaN            NaN            NaN            NaN   27.9080        57.3800                 NaN   8.13913        5.84119        7.74329        4.40218     
  27600.0        1071.50        3440.24                 NaN            NaN            NaN            NaN            NaN   27.9458        57.3480                 NaN   8.13365        5.84139        7.74292        4.40151     
  27720.0        1074.55        3440.30                 NaN            NaN            NaN            NaN            NaN   28.0085        57.2883                 NaN   8.13089        5.84165        7.74261        4.40084     
  27840.0        1077.60        3440.37                 NaN            NaN            NaN            NaN            NaN   28.0500        57.2487                 NaN   8.12926        5.84190        7.74231        4.40019     
  27960.0        1080.65        3440.80                 NaN            NaN            NaN            NaN            NaN   28.2094        56.9715                 NaN   8.24664        5.84384        7.74402        4.40051     
  28080.0        1083.70        3440.82                 NaN            NaN            NaN            NaN            NaN   28.2516        56.9460                 NaN   8.23043        5.84391        7.74350        4.39976     
  28200.0        1086.75        3440.90                 NaN            NaN            NaN            NaN            NaN   28.1917        57.0059                 NaN   8.23067        5.84403        7.74301        4.39900     
  28320.0        1089.80        3440.94                 NaN            NaN            NaN            NaN            NaN   28.2390        56.9710                 NaN   8.21864        5.84416        7.74256        4.39827     
  28440.0        1092.85        3440.97                 NaN            NaN            NaN            NaN            NaN   28.2808        56.9437                 NaN   8.20440        5.84425        7.74207        4.39753     
  28560.0        1095.90        3441.00                 NaN            NaN            NaN            NaN            NaN   28.3176        56.9247                 NaN   8.18704        5.84430        7.74153        4.39676     
  28680.0        1098.95        3441.09                 NaN            NaN            NaN            NaN            NaN   28.3643        56.8747                 NaN   8.19068        5.84464        7.74132        4.39616     
  28800.0        1102.00        3440.73                 NaN            NaN            NaN            NaN            NaN   28.5472        56.8315                 NaN   8.05206        5.84338        7.73917        4.39457     
  28920.0        1105.05        3440.77                 NaN            NaN            NaN            NaN            NaN   28.5805        56.8110                 NaN   8.03960        5.84349        7.73871        4.39385     
  29040.0        1108.10        3440.81                 NaN            NaN            NaN            NaN            NaN   28.6138        56.7905                 NaN   8.02714        5.84359        7.73823        4.39312     
  29160.0        1111.15        3441.31                 NaN            NaN            NaN            NaN            NaN   28.8054        56.4801                 NaN   8.14533        5.84574        7.74035        4.39377     
  29280.0        1114.20        3441.36                 NaN            NaN            NaN            NaN            NaN   28.8183        56.4734                 NaN   8.13947        5.84589        7.73992        4.39305     
  29400.0        1117.25        3441.42                 NaN            NaN            NaN            NaN            NaN   28.8312        56.4667                 NaN   8.13362        5.84604        7.73948        4.39233     
  29520.0        1120.30        3441.48                 NaN            NaN            NaN            NaN            NaN   28.8441        56.4599                 NaN   8.12777        5.84619        7.73905        4.39160     
  29640.0        1123.35        3441.53                 NaN            NaN            NaN            NaN            NaN   28.8570        56.4532                 NaN   8.12192        5.84635        7.73862        4.39088     
  29760.0        1126.40        3441.59                 NaN            NaN            NaN            NaN            NaN   28.8699        56.4465                 NaN   8.11606        5.84650        7.73818        4.39016     
  29880.0        1129.45        3441.64                 NaN            NaN            NaN            NaN            NaN   28.8828        56.4398                 NaN   8.11021        5.84665        7.73775        4.38943     
  30000.0        1132.50        3441.70                 NaN            NaN            NaN            NaN            NaN   28.8957        56.4330                 NaN   8.10435        5.84680        7.73732        4.38871     
  30120.0        1135.55        3441.75                 NaN            NaN            NaN            NaN            NaN   28.9086        56.4263                 NaN   8.09850        5.84695        7.73689        4.38799     
  30240.0        1138.60        3441.83                 NaN            NaN            NaN            NaN            NaN   29.1708        56.1779                 NaN   8.08491        5.84743        7.73714        4.38784     
  30360.0        1141.65        3441.86                 NaN            NaN            NaN            NaN            NaN   28.9259        56.4230                 NaN   8.08519        5.84721        7.73597        4.38651     
  30480.0        1144.70        3441.57                 NaN            NaN            NaN            NaN            NaN   29.1961        56.2578                 NaN   7.98106        5.84636        7.73443        4.38533     
  30600.0        1147.75        3441.61                 NaN            NaN            NaN            NaN            NaN   29.2289        56.2384                 NaN   7.96804        5.84646        7.73397        4.38462     
  30720.0        1150.80        3441.66                 NaN            NaN            NaN            NaN            NaN   29.2617        56.2189                 NaN   7.95502        5.84657        7.73352        4.38392     
  30840.0        1153.85        3441.70                 NaN            NaN            NaN            NaN            NaN   29.2945        56.1995                 NaN   7.94200        5.84667        7.73306        4.38321     
  30960.0        1156.90        3441.86                 NaN            NaN            NaN            NaN            NaN   29.3084        56.1564                 NaN   7.97131        5.84727        7.73314        4.38271     
  31080.0        1159.95        3441.90                 NaN            NaN            NaN            NaN            NaN   29.3420        56.1380                 NaN   7.95653        5.84736        7.73267        4.38200     
  31200.0        1163.00        3441.84                 NaN            NaN            NaN            NaN            NaN   29.3642        56.1596                 NaN   7.91315        5.84707        7.73169        4.38100     
  31320.0        1166.05        3441.27                 NaN            NaN            NaN            NaN            NaN   29.5318        56.2597                 NaN   7.64698        5.84449        7.72855        4.37942     
  31440.0        1169.10        3441.30                 NaN            NaN            NaN            NaN            NaN   29.5683        56.2431                 NaN   7.62746        5.84451        7.72800        4.37867     
  31560.0        1172.15        3441.33                 NaN            NaN            NaN            NaN            NaN   29.6011        56.2252                 NaN   7.61289        5.84459        7.72751        4.37794     
  31680.0        1175.20        3442.08                 NaN            NaN            NaN            NaN            NaN   29.4710        56.0807                 NaN   7.88651        5.84777        7.73016        4.37827     
