|6.6.6
project/DW/DW_1.tab                                                                                 
           1
P(bar)  
   6.9127692053006575E-310
   6.9127692053006575E-310
 -1144756159
          15
P(bar)         T(K)           rho,kg/m3      O,vo%          Wad,vo%        Ring,vo%       Pv,vo%         Wus,vo%        Cpx,vo%        Opx,vo%        Aki,vo%        Gt_maj,vo%     v0,km/s        vp,km/s        vs,km/s       
  22320.0        937.300        3602.31        23.1786                 NaN            NaN            NaN            NaN   12.9050        45.5162                 NaN   18.4002        5.87203        7.72766        4.35052     
  22440.0        940.350        3602.36        23.1789                 NaN            NaN            NaN            NaN   12.9050        45.5154                 NaN   18.4007        5.87212        7.72727        4.34991     
  22560.0        943.400        3602.41        23.1792                 NaN            NaN            NaN            NaN   12.9051        45.5147                 NaN   18.4011        5.87221        7.72688        4.34930     
  22680.0        946.450        3602.47        23.1795                 NaN            NaN            NaN            NaN   12.9051        45.5139                 NaN   18.4015        5.87230        7.72650        4.34869     
  22800.0        949.500        3600.50        23.1754                 NaN            NaN            NaN            NaN   12.9823        46.0318                 NaN   17.8105        5.86577        7.71768        4.34356     
  22920.0        952.550        3600.55        23.1758                 NaN            NaN            NaN            NaN   12.9824        46.0310                 NaN   17.8109        5.86586        7.71729        4.34295     
  23040.0        955.600        3600.61        23.1761                 NaN            NaN            NaN            NaN   12.9824        46.0302                 NaN   17.8113        5.86594        7.71690        4.34235     
  23160.0        958.650        3600.66        23.1764                 NaN            NaN            NaN            NaN   12.9825        46.0294                 NaN   17.8117        5.86603        7.71651        4.34174     
  23280.0        961.700        3600.71        23.1767                 NaN            NaN            NaN            NaN   12.9826        46.0287                 NaN   17.8121        5.86612        7.71612        4.34113     
  23400.0        964.750        3600.77        23.1770                 NaN            NaN            NaN            NaN   12.9826        46.0279                 NaN   17.8125        5.86621        7.71573        4.34052     
  23520.0        967.800        3600.82        23.1773                 NaN            NaN            NaN            NaN   12.9827        46.0271                 NaN   17.8129        5.86629        7.71534        4.33992     
  23640.0        970.850        3600.87        23.1776                 NaN            NaN            NaN            NaN   12.9827        46.0263                 NaN   17.8133        5.86638        7.71495        4.33931     
  23760.0        973.900        3603.33        23.1771                 NaN            NaN            NaN            NaN   13.1271        45.0364                 NaN   18.6595        5.87609        7.72504        4.34291     
  23880.0        976.950        3603.38        23.1774                 NaN            NaN            NaN            NaN   13.1271        45.0356                 NaN   18.6599        5.87618        7.72465        4.34230     
  24000.0        980.000        3603.43        23.1777                 NaN            NaN            NaN            NaN   13.1272        45.0348                 NaN   18.6604        5.87626        7.72426        4.34169     
  24120.0        983.050        3603.48        23.1780                 NaN            NaN            NaN            NaN   13.1272        45.0340                 NaN   18.6608        5.87636        7.72387        4.34108     
  24240.0        986.100        3603.54        23.1783                 NaN            NaN            NaN            NaN   13.1273        45.0332                 NaN   18.6612        5.87645        7.72348        4.34047     
  24360.0        989.150        3603.59        23.1786                 NaN            NaN            NaN            NaN   13.1274        45.0324                 NaN   18.6616        5.87653        7.72309        4.33986     
  24480.0        992.200        3601.06        23.1817                 NaN            NaN            NaN            NaN   13.1187        45.8753                 NaN   17.8243        5.86763        7.71203        4.33414     
  24600.0        995.250        3601.11        23.1820                 NaN            NaN            NaN            NaN   13.1187        45.8745                 NaN   17.8247        5.86771        7.71164        4.33353     
  24720.0        998.300        3601.16        23.1823                 NaN            NaN            NaN            NaN   13.1188        45.8737                 NaN   17.8251        5.86780        7.71125        4.33292     
  24840.0        1001.35        3601.22        23.1826                 NaN            NaN            NaN            NaN   13.1189        45.8730                 NaN   17.8255        5.86788        7.71086        4.33231     
  24960.0        1004.40        3601.27        23.1830                 NaN            NaN            NaN            NaN   13.1189        45.8722                 NaN   17.8259        5.86797        7.71046        4.33170     
  25080.0        1007.45        3601.32        23.1833                 NaN            NaN            NaN            NaN   13.1190        45.8714                 NaN   17.8263        5.86805        7.71007        4.33109     
  25200.0        1010.50        3601.37        23.1836                 NaN            NaN            NaN            NaN   13.1191        45.8706                 NaN   17.8267        5.86814        7.70968        4.33048     
  25320.0        1013.55        3601.43        23.1839                 NaN            NaN            NaN            NaN   13.1191        45.8698                 NaN   17.8272        5.86822        7.70928        4.32987     
  25440.0        1016.60        3601.48        23.1842                 NaN            NaN            NaN            NaN   13.1192        45.8691                 NaN   17.8276        5.86831        7.70889        4.32926     
  25560.0        1019.65        3601.53        23.1845                 NaN            NaN            NaN            NaN   13.1192        45.8683                 NaN   17.8280        5.86839        7.70850        4.32865     
  25680.0        1022.70        3601.58        23.1848                 NaN            NaN            NaN            NaN   13.1193        45.8675                 NaN   17.8284        5.86847        7.70810        4.32804     
  25800.0        1025.75        3601.64        23.1851                 NaN            NaN            NaN            NaN   13.1194        45.8667                 NaN   17.8288        5.86856        7.70771        4.32742     
  25920.0        1028.80        3601.69        23.1854                 NaN            NaN            NaN            NaN   13.1194        45.8659                 NaN   17.8292        5.86864        7.70731        4.32681     
  26040.0        1031.85        3601.74        23.1858                 NaN            NaN            NaN            NaN   13.1195        45.8652                 NaN   17.8296        5.86872        7.70692        4.32620     
  26160.0        1034.90        3601.22        23.1821                 NaN            NaN            NaN            NaN   13.0082        45.9820                 NaN   17.8276        5.86870        7.70520        4.32393     
  26280.0        1037.95        3601.27        23.1825                 NaN            NaN            NaN            NaN   13.0083        45.9812                 NaN   17.8280        5.86878        7.70481        4.32332     
  26400.0        1041.00        3601.33        23.1828                 NaN            NaN            NaN            NaN   13.0084        45.9804                 NaN   17.8284        5.86887        7.70441        4.32271     
  26520.0        1044.05        3601.38        23.1831                 NaN            NaN            NaN            NaN   13.0084        45.9796                 NaN   17.8288        5.86895        7.70402        4.32210     
  26640.0        1047.10        3601.43        23.1834                 NaN            NaN            NaN            NaN   13.0085        45.9789                 NaN   17.8292        5.86903        7.70363        4.32149     
  26760.0        1050.15        3601.48        23.1837                 NaN            NaN            NaN            NaN   13.0086        45.9781                 NaN   17.8297        5.86911        7.70323        4.32088     
